match_id,date,competition,round,format,home_team,away_team,home_score,away_score,venue,city,attendance,is_final,is_opener,years_since_prev_wc,source,venue_capacity
2024_04_27_wales_italy,2024-04-27,Six Nations,Round 5,15s,Wales,Italy,22.0,20.0,Millennium Stadium,Cardiff,10592,0,0,,https://en.wikipedia.org/wiki/2024_Women's_Six_Nations_Championship,73931.0
2024_04_27_ireland_scotland,2024-04-27,Six Nations,Round 5,15s,Ireland,Scotland,15.0,12.0,Ravenhill Stadium,Belfast,7468,0,0,,https://en.wikipedia.org/wiki/2024_Women's_Six_Nations_Championship,18196.0
2024_04_27_france_england,2024-04-27,Six Nations,Round 5,15s,France,England,21.0,42.0,Stade Chaban-Delmas,Bordeaux,28023,0,0,,https://en.wikipedia.org/wiki/2024_Women's_Six_Nations_Championship,34462.0
2023_03_25_wales_ireland,2023-03-25,Six Nations,Round 1,15s,Wales,Ireland,31.0,5.0,Cardiff Arms Park,Cardiff,4962,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship,12125.0
2023_03_25_england_scotland,2023-03-25,Six Nations,Round 1,15s,England,Scotland,58.0,7.0,Kingston Park,Newcastle,10053,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship,10100.0
2023_03_26_italy_france,2023-03-26,Six Nations,Round 1,15s,Italy,France,12.0,22.0,Stadio Sergio Lanfranchi,Parma,1982,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship,5000.0
2023_04_01_ireland_france,2023-04-01,Six Nations,Round 2,15s,Ireland,France,3.0,53.0,Musgrave Park,Cork,5214,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship,8008.0
2023_04_01_scotland_wales,2023-04-01,Six Nations,Round 2,15s,Scotland,Wales,22.0,34.0,Edinburgh Rugby Stadium,Edinburgh,3031,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship,7800.0
2023_04_02_england_italy,2023-04-02,Six Nations,Round 2,15s,England,Italy,68.0,5.0,Franklin's Gardens,Northampton,12947,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship,15249.0
2023_04_15_wales_england,2023-04-15,Six Nations,Round 3,15s,Wales,England,3.0,59.0,Cardiff Arms Park,Cardiff,8862,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship,12125.0
2023_04_15_italy_ireland,2023-04-15,Six Nations,Round 3,15s,Italy,Ireland,24.0,7.0,Stadio Sergio Lanfranchi,Parma,3872,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship,5000.0
2023_04_16_france_scotland,2023-04-16,Six Nations,Round 3,15s,France,Scotland,55.0,0.0,Stade de la Rabine,Vannes,10044,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship,11500.0
2023_04_22_ireland_england,2023-04-22,Six Nations,Round 4,15s,Ireland,England,0.0,48.0,Musgrave Park,Cork,5309,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship,8008.0
2023_04_22_scotland_italy,2023-04-22,Six Nations,Round 4,15s,Scotland,Italy,29.0,21.0,Edinburgh Rugby Stadium,Edinburgh,3638,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship,7800.0
2023_04_23_france_wales,2023-04-23,Six Nations,Round 4,15s,France,Wales,39.0,14.0,Stade des Alpes,Grenoble,18604,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship,20068.0
2023_04_29_england_france,2023-04-29,Six Nations,Round 5,15s,England,France,38.0,33.0,Twickenham Stadium,London,58498,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship,82000.0
2023_04_29_italy_wales,2023-04-29,Six Nations,Round 5,15s,Italy,Wales,10.0,36.0,Stadio Sergio Lanfranchi,Parma,3213,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship,5000.0
2023_04_29_scotland_ireland,2023-04-29,Six Nations,Round 5,15s,Scotland,Ireland,36.0,10.0,Edinburgh Rugby Stadium,Edinburgh,4862,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship,7800.0
2023_07_22_italy_spain,2023-07-22,WXV,WXV 3 final qualification,15s,Italy,Spain,23.0,0.0,,Piacenza,1035,1,0,,https://en.wikipedia.org/wiki/2023_WXV,
2023_10_21_new_zealand_france,2023-10-21,WXV,Round 1,15s,New Zealand,France,17.0,18.0,Wellington Regional Stadium,Wellington,3000,0,0,,https://en.wikipedia.org/wiki/2023_WXV,34500.0
2023_10_28_new_zealand_wales,2023-10-28,WXV,Round 2,15s,New Zealand,Wales,70.0,7.0,Forsyth Barr Stadium,Dunedin,4500,0,0,,https://en.wikipedia.org/wiki/2023_WXV,30748.0
2023_11_04_england_new_zealand,2023-11-04,WXV,Round 3,15s,England,New Zealand,33.0,12.0,Mount Smart Stadium,Auckland,10000,0,0,,https://en.wikipedia.org/wiki/2023_WXV,25000.0
2024_06_29_wales_spain,2024-06-29,WXV,,15s,Wales,Spain,52.0,20.0,Cardiff Arms Park,Cardiff,2436,0,0,,https://en.wikipedia.org/wiki/2024_WXV,12125.0
2024_09_29_canada_france,2024-09-29,WXV,Round 1,15s,Canada,France,46.0,24.0,BC Place,Vancouver,4500,0,0,,https://en.wikipedia.org/wiki/2024_WXV,54000.0
2024_10_06_new_zealand_england,2024-10-06,WXV,Round 2,15s,New Zealand,England,31.0,49.0,Langley Events Centre,Langley,1500,0,0,,https://en.wikipedia.org/wiki/2024_WXV,6000.0
2024_10_12_canada_england,2024-10-12,WXV,Round 3,15s,Canada,England,12.0,21.0,BC Place,Vancouver,3000,0,0,,https://en.wikipedia.org/wiki/2024_WXV,54000.0
2025_08_22_england_united_states,2025-08-22,Rugby World Cup,Pool A,15s,England,United States,69.0,7.0,Stadium of Light,Sunderland,42723,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_A,48707.0
2025_08_23_australia_samoa,2025-08-23,Rugby World Cup,Pool A,15s,Australia,Samoa,73.0,0.0,Salford Community Stadium,Manchester,10054,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_A,12100.0
2025_08_30_england_samoa,2025-08-30,Rugby World Cup,Pool A,15s,England,Samoa,92.0,3.0,Franklin's Gardens,Northampton,13615,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_A,15249.0
2025_08_30_united_states_australia,2025-08-30,Rugby World Cup,Pool A,15s,United States,Australia,31.0,31.0,York Community Stadium,York,7828,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_A,8500.0
2025_09_06_united_states_samoa,2025-09-06,Rugby World Cup,Pool A,15s,United States,Samoa,60.0,0.0,York Community Stadium,York,7124,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_A,8500.0
2025_09_06_england_australia,2025-09-06,Rugby World Cup,Pool A,15s,England,Australia,47.0,7.0,Brighton & Hove Albion Stadium,Brighton,30433,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_A,31876.0
2025_08_23_scotland_wales,2025-08-23,Rugby World Cup,Pool B,15s,Scotland,Wales,38.0,8.0,Salford Community Stadium,Manchester,10054,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_B,12100.0
2025_08_23_canada_fij,2025-08-23,Rugby World Cup,Pool B,15s,Canada,FIJ,65.0,7.0,York Community Stadium,York,4810,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_B,8500.0
2025_08_30_canada_wales,2025-08-30,Rugby World Cup,Pool B,15s,Canada,Wales,42.0,0.0,Salford Community Stadium,Manchester,9803,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_B,12100.0
2025_08_30_scotland_fij,2025-08-30,Rugby World Cup,Pool B,15s,Scotland,FIJ,29.0,15.0,Salford Community Stadium,Manchester,9803,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_B,12100.0
2025_09_06_canada_scotland,2025-09-06,Rugby World Cup,Pool B,15s,Canada,Scotland,40.0,19.0,Sandy Park,Exeter,14003,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_B,12500.0
2025_09_06_wales_fij,2025-09-06,Rugby World Cup,Pool B,15s,Wales,FIJ,25.0,28.0,Sandy Park,Exeter,14003,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_B,12500.0
2025_08_24_ireland_japan,2025-08-24,Rugby World Cup,Pool C,15s,Ireland,Japan,42.0,14.0,Franklin's Gardens,Northampton,13053,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_C,15249.0
2025_08_24_new_zealand_spain,2025-08-24,Rugby World Cup,Pool C,15s,New Zealand,Spain,54.0,8.0,York Community Stadium,York,7458,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_C,8500.0
2025_08_31_ireland_spain,2025-08-31,Rugby World Cup,Pool C,15s,Ireland,Spain,43.0,27.0,Franklin's Gardens,Northampton,8834,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_C,15249.0
2025_08_31_new_zealand_japan,2025-08-31,Rugby World Cup,Pool C,15s,New Zealand,Japan,62.0,19.0,Sandy Park,Exeter,13902,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_C,12500.0
2025_09_07_japan_spain,2025-09-07,Rugby World Cup,Pool C,15s,Japan,Spain,29.0,21.0,York Community Stadium,York,3779,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_C,8500.0
2025_09_07_new_zealand_ireland,2025-09-07,Rugby World Cup,Pool C,15s,New Zealand,Ireland,40.0,0.0,Brighton & Hove Albion Stadium,Brighton,30017,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_C,31876.0
2025_08_23_france_italy,2025-08-23,Rugby World Cup,Pool D,15s,France,Italy,24.0,0.0,Sandy Park,Exeter,7052,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_D,12500.0
2025_08_24_south_africa_brazil,2025-08-24,Rugby World Cup,Pool D,15s,South Africa,Brazil,66.0,6.0,Franklin's Gardens,Northampton,13053,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_D,15249.0
2025_08_31_italy_south_africa,2025-08-31,Rugby World Cup,Pool D,15s,Italy,South Africa,24.0,29.0,York Community Stadium,York,6045,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_D,8500.0
2025_08_31_france_brazil,2025-08-31,Rugby World Cup,Pool D,15s,France,Brazil,84.0,5.0,Sandy Park,Exeter,13902,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_D,12500.0
2025_09_07_italy_brazil,2025-09-07,Rugby World Cup,Pool D,15s,Italy,Brazil,64.0,3.0,Franklin's Gardens,Northampton,13268,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_D,15249.0
2025_09_07_france_south_africa,2025-09-07,Rugby World Cup,Pool D,15s,France,South Africa,57.0,10.0,Franklin's Gardens,Northampton,13268,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_D,15249.0
wrwc2025_final,2025-09-27,Rugby World Cup,Final,15s,England,Canada,,,Allianz Stadium (Twickenham),London,81885,1,0,4.0,Wikipedia: 2025 Women's Rugby World Cup final,82000.0
wrwc2025_opener,2025-08-22,Rugby World Cup,Pool A,15s,England,United States,,,Stadium of Light,Sunderland,42723,0,1,4.0,Wikipedia: 2025 Women's Rugby World Cup Pool A,48707.0
six_nations_2023_final,2023-04-29,Six Nations,Final round,15s,England,France,,,Twickenham Stadium,London,58498,1,0,,"Sky Sports / Wikipedia: 2023 Women's Six Nations decider, record for standalone women's international at the time",82000.0
wrwc2021_final,2022-11-12,Rugby World Cup,Final,15s,England,New Zealand,,,Eden Park,Auckland,42579,1,0,,Wikipedia: 2021 Women's Rugby World Cup final (delayed to 2022),50000.0
wrwc2010_final,2010-08-28,Rugby World Cup,Final,15s,New Zealand,England,,,Twickenham Stoop,London,13253,1,0,,Sky Sports: 2010 WRWC final attendance,14800.0
