match_id,date,competition,round,format,home_team,away_team,home_score,away_score,venue,city,attendance,is_final,is_opener,years_since_prev_wc,source
2023_03_25_wales_ireland,2023-03-25,Six Nations,Round 1,15s,Wales,Ireland,31,5,Cardiff Arms Park,Cardiff,4962,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship
2023_03_25_england_scotland,2023-03-25,Six Nations,Round 1,15s,England,Scotland,58,7,Kingston Park,Newcastle,10053,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship
2023_03_26_italy_france,2023-03-26,Six Nations,Round 1,15s,Italy,France,12,22,Stadio Sergio Lanfranchi,Parma,1982,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship
2023_04_01_ireland_france,2023-04-01,Six Nations,Round 2,15s,Ireland,France,3,53,Musgrave Park,Cork,5214,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship
2023_04_01_scotland_wales,2023-04-01,Six Nations,Round 2,15s,Scotland,Wales,22,34,Edinburgh Rugby Stadium,Edinburgh,3031,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship
2023_04_02_england_italy,2023-04-02,Six Nations,Round 2,15s,England,Italy,68,5,Franklin's Gardens,Northampton,12947,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship
2023_04_15_wales_england,2023-04-15,Six Nations,Round 3,15s,Wales,England,3,59,Cardiff Arms Park,Cardiff,8862,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship
2023_04_15_italy_ireland,2023-04-15,Six Nations,Round 3,15s,Italy,Ireland,24,7,Stadio Sergio Lanfranchi,Parma,3872,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship
2023_04_16_france_scotland,2023-04-16,Six Nations,Round 3,15s,France,Scotland,55,0,Stade de la Rabine,Vannes,10044,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship
2023_04_22_ireland_england,2023-04-22,Six Nations,Round 4,15s,Ireland,England,0,48,Musgrave Park,Cork,5309,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship
2023_04_22_scotland_italy,2023-04-22,Six Nations,Round 4,15s,Scotland,Italy,29,21,Edinburgh Rugby Stadium,Edinburgh,3638,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship
2023_04_23_france_wales,2023-04-23,Six Nations,Round 4,15s,France,Wales,39,14,Stade des Alpes,Grenoble,18604,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship
2023_04_29_england_france,2023-04-29,Six Nations,Round 5,15s,England,France,38,33,Twickenham Stadium,London,58498,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship
2023_04_29_italy_wales,2023-04-29,Six Nations,Round 5,15s,Italy,Wales,10,36,Stadio Sergio Lanfranchi,Parma,3213,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship
